rid,aircraft,airport,model,impact,flight_date,damage,airline,origin,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag
234880,Airplane,SANTA BARBARA MUNICIPAL,CL-RJ100/200,Precautionary Landing,1/30/2005 0:00,No damage,COMAIR AIRLINES,California,Climb,Medium,No Cloud,N,75,No
230460,Airplane,COLLIN COUNTY RGNL ARPT AT MCKINNEY,GULFAERO III,None,1/31/2005 0:00,No damage,BUSINESS,Texas,Approach,Small,Overcast,Y,40,No
232396,Airplane,FAIRMONT MUNI-FRANKMAN FLD,C-414,None,1/31/2005 0:00,Damage,BUSINESS,West Virginia,Landing Roll,Large,Overcast,N,0,No
231794,Airplane,DALLAS/FORT WORTH INTL ARPT,LEARJET-31,None,2/1/2005 0:00,No damage,BOMBARDIER BUSINESS JET,Texas,Approach,Medium,Overcast,Y,400,No
231363,Airplane,SOUTHWEST FLORIDA INTL ARPT,B-767-200,None,2/1/2005 0:00,No damage,DELTA AIR LINES,Florida,Approach,Medium,Some Cloud,Y,50,Yes
231337,Airplane,PUERTO VALLARTA,A-319,None,2/1/2005 0:00,No damage,FRONTIER AIRLINES,N/A,Approach,Small,Some Cloud,N,200,No
229369,Airplane,JOHN F KENNEDY INTL,DC-9-30,None,2/1/2005 0:00,No damage,NORTHWEST AIRLINES,New York,Approach,Small,No Cloud,Y,40,No
233695,Airplane,METRO OAKLAND INTL,B-737-300,None,2/2/2005 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Medium,No Cloud,Y,50,Yes
230606,Airplane,KAPALUA ARPT,DHC8 DASH 8,None,2/3/2005 0:00,No damage,ISLAND AIR,Hawaii,Landing Roll,Large,Overcast,N,0,No
226496,Airplane,LOS ANGELES INTL,CL-RJ100/200,None,2/6/2005 0:00,No damage,SKYWEST AIRLINES,California,Climb,Small,Overcast,N,400,No
227226,Airplane,MEMPHIS INTL,CL-600,None,2/7/2005 0:00,No damage,BUSINESS,Tennessee,Landing Roll,Small,Overcast,Y,0,No
230799,Airplane,KONA INTL ARPT,B-737,None,2/7/2005 0:00,No damage,GOVERNMENT,Hawaii,Climb,Small,Some Cloud,N,150,Yes
224138,Airplane,ORLANDO SANFORD INTL AIRPORT,B-777-200,None,2/7/2005 0:00,No damage,BOSTON-MAINE AIRWAYS,Florida,Approach,Large,Some Cloud,N,10,No
229355,Airplane,KONA INTL ARPT,B-737-200,None,2/8/2005 0:00,No damage,ALOHA AIRLINES,Hawaii,Climb,Medium,No Cloud,N,100,Yes
232895,Airplane,ORLANDO INTL,A-320,None,2/8/2005 0:00,No damage,SKYSERVICE AIRLINES,Florida,Landing Roll,Medium,Some Cloud,N,0,No
232373,Airplane,SACRAMENTO INTL,B-737-300,Precautionary Landing,2/8/2005 0:00,Damage,SOUTHWEST AIRLINES,California,Climb,Large,Some Cloud,Y,600,Yes
233078,Airplane,RONALD REAGAN WASHINGTON NATL,EMB-135,None,2/9/2005 0:00,No damage,AMERICAN EAGLE AIRLINES,DC,Approach,Medium,No Cloud,Y,100,No
227764,Airplane,LOS ANGELES INTL,B-767-400,None,2/10/2005 0:00,No damage,DELTA AIR LINES,California,Approach,Medium,Some Cloud,N,"6,000",Yes
229176,Airplane,DENVER INTL AIRPORT,A-319,None,2/11/2005 0:00,No damage,FRONTIER AIRLINES,Colorado,Approach,Small,No Cloud,N,50,No
229451,Airplane,HONOLULU INTL ARPT,B-737-200,Other,2/11/2005 0:00,No damage,ALOHA AIRLINES,Hawaii,Take-off run,Small,Overcast,N,0,Yes
229177,Airplane,DAVID WAYNE HOOKS MEMORIAL ARPT,DA-10 FALCON,None,2/11/2005 0:00,No damage,BUSINESS,Texas,Climb,Medium,Some Cloud,N,100,No
229693,Airplane,SAN FRANCISCO INTL ARPT,EMB-120,None,2/12/2005 0:00,No damage,SKYWEST AIRLINES,California,Climb,Small,Overcast,N,"1,000",No
228951,Airplane,BRANDYWINE ARPT,PA-28,Precautionary Landing,2/12/2005 0:00,Damage,PRIVATELY OWNED,Pennsylvania,Approach,Large,No Cloud,N,50,No
231134,Airplane,DALLAS/FORT WORTH INTL ARPT,MD-80,None,2/13/2005 0:00,No damage,AMERICAN AIRLINES,Texas,Landing Roll,Small,Some Cloud,Y,0,No
231164,Airplane,HUNTSVILLE INTL,MD-80,None,2/13/2005 0:00,No damage,AMERICAN AIRLINES,Alabama,Take-off run,Small,Overcast,N,0,No
234029,Airplane,CYRIL E KING ARPT,C-402,None,2/14/2005 0:00,No damage,CAPE AIR,Virgin Islands,Landing Roll,Large,Some Cloud,N,0,No
231070,Airplane,DES MOINES INTL,CL-RJ100/200,None,2/14/2005 0:00,No damage,ATLANTIC SOUTHEAST,Iowa,Take-off run,Small,Overcast,N,0,No
229608,Airplane,ATLANTA INTL,B-767-400,None,2/14/2005 0:00,No damage,DELTA AIR LINES,Georgia,Approach,Medium,Overcast,N,50,Yes
228683,Airplane,NEW ORLEANS INTL,A-320,None,2/14/2005 0:00,No damage,UNITED AIRLINES,Louisiana,Landing Roll,Large,No Cloud,N,0,No
233364,Airplane,BALTIMORE WASH INTL,B-737-700,Precautionary Landing,2/15/2005 0:00,No damage,SOUTHWEST AIRLINES,Maryland,Climb,Medium,Some Cloud,N,15,Yes
233510,Airplane,LIHUE ARPT,B-737-200,None,2/15/2005 0:00,No damage,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Some Cloud,Y,0,Yes
231723,Airplane,HONOLULU INTL ARPT,B-717-200,None,2/15/2005 0:00,No damage,HAWAIIAN AIR,Hawaii,Take-off run,Small,No Cloud,N,0,No
232464,Airplane,CHICAGO MIDWAY INTL ARPT,A-319,None,2/15/2005 0:00,No damage,FRONTIER AIRLINES,Illinois,Climb,Medium,Overcast,N,150,No
232599,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,2/15/2005 0:00,No damage,ATLANTIC SOUTHEAST,Kentucky,Climb,Medium,Some Cloud,Y,150,No
227325,Airplane,ST. PETERSBURG/CLEARWATER INTL,PA-42,None,2/16/2005 0:00,No damage,US CUSTOMS AND BORDER PROTECTION,Florida,Landing Roll,Medium,No Cloud,N,0,No
227351,Airplane,INDIANAPOLIS INTL,EMB-145,None,2/16/2005 0:00,Damage,CHAUTAUQUA AIRLINES,Indiana,Approach,Large,No Cloud,N,500,No
237038,Airplane,BOB HOPE ARPT,B-737-700,None,2/16/2005 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Small,No Cloud,N,"1,000",Yes
235375,Airplane,SKYHAVEN,C-172,None,2/17/2005 0:00,No damage,BUSINESS,Missouri,Approach,Medium,No Cloud,N,500,No
230206,Airplane,ATLANTA INTL,B-717-200,None,2/20/2005 0:00,No damage,AIRTRAN AIRWAYS,Georgia,Approach,Small,Some Cloud,N,800,No
233409,Airplane,LIHUE ARPT,B-717-200,None,2/20/2005 0:00,No damage,HAWAIIAN AIR,Hawaii,Take-off run,Medium,Some Cloud,Y,0,No
233874,Airplane,CHINO AIRPORT,BE-300 KING,None,2/20/2005 0:00,Damage,BUSINESS,California,Approach,Medium,Overcast,Y,"1,000",No
230498,Airplane,METRO OAKLAND INTL,DC-10,None,2/22/2005 0:00,No damage,FEDEX EXPRESS,California,Approach,Medium,Some Cloud,Y,50,No
233182,Airplane,DALLAS/FORT WORTH INTL ARPT,MD-80,None,2/23/2005 0:00,No damage,AMERICAN AIRLINES,Texas,Take-off run,Small,Some Cloud,N,0,No
231690,Airplane,KANSAS CITY INTL,MD-80,None,2/23/2005 0:00,No damage,AMERICAN AIRLINES,Missouri,Approach,Small,Overcast,Y,5,No
228142,Airplane,ATLANTA INTL,B-737-800,None,2/24/2005 0:00,No damage,DELTA AIR LINES,Georgia,Take-off run,Small,Overcast,N,0,Yes
236467,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,CL-RJ100/200,None,2/25/2005 0:00,No damage,SKYWEST AIRLINES,Alabama,Take-off run,Small,Some Cloud,N,0,No
232720,Airplane,ORLANDO INTL,MD-80,None,2/25/2005 0:00,No damage,SPIRIT AIRLINES,Florida,Approach,Large,Overcast,Y,100,No
231494,Airplane,DENVER INTL AIRPORT,A-318,None,2/25/2005 0:00,No damage,FRONTIER AIRLINES,Colorado,Approach,Medium,No Cloud,N,"5,500",No
231570,Airplane,JOHN F KENNEDY INTL,A-320,Other,2/25/2005 0:00,No damage,JETBLUE AIRWAYS,New York,Approach,Large,Some Cloud,Y,15,No
228893,Airplane,JOHN F KENNEDY INTL,CL-601/604,None,2/25/2005 0:00,No damage,BUSINESS,New York,Approach,Small,No Cloud,Y,50,No
235501,Airplane,SAN ANTONIO INTL,MD-80,None,2/27/2005 0:00,No damage,AMERICAN AIRLINES,Texas,Approach,Medium,No Cloud,N,"2,200",No
232421,Airplane,LANAI ARPT,DHC8 DASH 8,None,3/1/2005 0:00,No damage,ISLAND AIRLINES,Hawaii,Landing Roll,Small,Some Cloud,N,0,No
230808,Airplane,AUSTIN-BERGSTROM INTL,B-737-700,None,3/1/2005 0:00,Damage,SOUTHWEST AIRLINES,Texas,Approach,Medium,Some Cloud,N,"1,500",Yes
232420,Airplane,BRADLEY INTL,MD-88,None,3/1/2005 0:00,No damage,DELTA AIR LINES,Connecticut,Take-off run,Small,Overcast,Y,0,No
230125,Airplane,WESTCHESTER COUNTY ARPT,CL-RJ700,None,3/2/2005 0:00,No damage,AMERICAN AIRLINES,New York,Approach,Large,Some Cloud,Y,150,No
225333,Airplane,RAPID CITY REGIONAL,EMB-120,Precautionary Landing,3/3/2005 0:00,No damage,SKYWEST AIRLINES,South Dakota,Climb,Large,No Cloud,N,"5,000",No
231394,Airplane,NEW ORLEANS INTL,B-737-300,None,3/4/2005 0:00,No damage,SOUTHWEST AIRLINES,Louisiana,Descent,Small,No Cloud,N,"5,000",Yes
232281,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,None,3/4/2005 0:00,No damage,DELTA AIR LINES,Kentucky,Approach,Medium,No Cloud,Y,10,No
232813,Airplane,METRO OAKLAND INTL,B-737-300,None,3/8/2005 0:00,No damage,SOUTHWEST AIRLINES,California,Climb,Medium,No Cloud,N,"6,000",Yes
231256,Airplane,EXECUTIVE ARPT,LEARJET-60,None,3/9/2005 0:00,No damage,BUSINESS,Florida,Landing Roll,Small,Overcast,Y,0,No
229122,Airplane,PHOENIX SKY HARBOR,B-737-300,Precautionary Landing,3/9/2005 0:00,No damage,AMERICA WEST AIRLINES,Arizona,Climb,Small,No Cloud,N,"4,000",Yes
229648,Airplane,WILEY POST ARPT,PILATUS PC12,None,3/9/2005 0:00,No damage,US CUSTOMS AND BORDER PROTECTION,Oklahoma,Approach,Small,Some Cloud,Y,10,No
233999,Airplane,PORT COLUMBUS INTL,EMB-145,None,3/9/2005 0:00,No damage,CHAUTAUQUA AIRLINES,Ohio,Landing Roll,Small,No Cloud,Y,0,No
235783,Airplane,LUIS MUNOZ MARIN INTL -SAN JUAN,B-737,None,3/10/2005 0:00,No damage,CONTINENTAL AIRLINES,Puerto Rico,Take-off run,Medium,No Cloud,N,0,Yes
225997,Airplane,LOGAN INTL,A-319,None,3/10/2005 0:00,No damage,AMERICA WEST AIRLINES,Massachusetts,Approach,Large,Some Cloud,Y,10,No
231550,Airplane,JOHN F KENNEDY INTL,B-757-200,None,3/11/2005 0:00,No damage,DELTA AIR LINES,New York,Approach,Medium,Some Cloud,N,500,Yes
232429,Airplane,MBS INTL,AVRO RJ 85,None,3/11/2005 0:00,No damage,MESABA AIRLINES,Michigan,Take-off run,Small,Some Cloud,N,0,No
223344,Airplane,HOUSTON-HOBBY,B-737-500,None,3/11/2005 0:00,No damage,SOUTHWEST AIRLINES,Texas,Approach,Small,Some Cloud,N,200,Yes
232455,Airplane,EPPLEY AIRFIELD,BE-100 KING,None,3/11/2005 0:00,No damage,BUSINESS,Nebraska,Landing Roll,Medium,No Cloud,Y,0,No
225753,Airplane,EPPLEY AIRFIELD,CL-RJ100/200,None,3/11/2005 0:00,No damage,SKYWEST AIRLINES,Nebraska,Take-off run,Medium,Overcast,Y,0,No
229516,Airplane,LIHUE ARPT,B-717-200,None,3/11/2005 0:00,No damage,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Overcast,Y,0,No
226009,Airplane,LOGAN INTL,B-757-200,None,3/11/2005 0:00,No damage,US AIRWAYS,Massachusetts,Climb,Small,Some Cloud,N,100,Yes
230025,Airplane,DAYTONA BEACH INTL,MD-88,Other,3/11/2005 0:00,No damage,DELTA AIR LINES,Florida,Approach,Medium,Some Cloud,N,"1,600",No
231866,Airplane,PORT COLUMBUS INTL,B-737-800,None,3/12/2005 0:00,No damage,DELTA AIR LINES,Ohio,Approach,Small,Some Cloud,N,"1,000",Yes
230870,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,MD-83,None,3/12/2005 0:00,No damage,AMERICAN AIRLINES,Alabama,Descent,Small,No Cloud,N,"2,000",No
225779,Airplane,KENDALL-TAMIAMI EXECUTIVE ARPT,C-182 SKYLAN,None,3/12/2005 0:00,Damage,PRIVATELY OWNED,Florida,Take-off run,Large,No Cloud,Y,0,No
230723,Airplane,PHOENIX SKY HARBOR,B-737-700,None,3/12/2005 0:00,No damage,SOUTHWEST AIRLINES,Arizona,Approach,Small,No Cloud,N,"2,000",Yes
234539,Airplane,NEWARK LIBERTY INTL ARPT,B-757-300,None,3/13/2005 0:00,No damage,CONTINENTAL AIRLINES,New Jersey,Take-off run,Medium,Some Cloud,Y,0,Yes
234173,Airplane,TETERBORO AIRPORT,HAWKER 800,None,3/13/2005 0:00,No damage,BUSINESS,New Jersey,Approach,Medium,Some Cloud,N,50,No
234885,Airplane,DENVER INTL AIRPORT,MD-88,None,3/13/2005 0:00,No damage,DELTA AIR LINES,Colorado,Approach,Small,No Cloud,N,300,No
228574,Airplane,PALM BEACH INTL,HAWKER 800,None,3/14/2005 0:00,No damage,FLIGHT OPTIONS,Florida,Approach,Medium,Some Cloud,N,500,No
235115,Airplane,SEATTLE-TACOMA INTL,B-737-700,None,3/14/2005 0:00,No damage,ALASKA AIRLINES,Washington,Climb,Medium,No Cloud,N,"3,000",Yes
235013,Airplane,KAHULUI ARPT,B-757-200,Other,3/14/2005 0:00,Damage,AMERICAN AIRLINES,Hawaii,Landing Roll,Small,No Cloud,Y,0,Yes
234442,Airplane,MIAMI INTL,C-402,None,3/14/2005 0:00,No damage,CAPE AIR,Florida,Landing Roll,Small,Some Cloud,Y,0,No
234441,Airplane,HEATHROW - LONDON,B-777-200,None,3/14/2005 0:00,No damage,AMERICAN AIRLINES,N/A,Climb,Small,No Cloud,N,"9,000",No
229992,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,BE-200 KING,None,3/15/2005 0:00,No damage,BUSINESS,Alabama,Climb,Small,Some Cloud,N,460,No
232731,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,MD-82,None,3/15/2005 0:00,No damage,SPIRIT AIRLINES,Florida,Approach,Small,No Cloud,Y,"1,300",No
236435,Airplane,OGDEN-HINCKLEY ARPT,DIAMOND 40,None,3/15/2005 0:00,No damage,BUSINESS,Utah,Approach,Small,Overcast,N,"1,000",No
232730,Airplane,LAMBERT-ST LOUIS INTL,B-737-300,None,3/15/2005 0:00,No damage,SOUTHWEST AIRLINES,Missouri,Take-off run,Medium,Overcast,Y,0,Yes
236436,Airplane,GREATER PITTSBURGH,DC-9,None,3/15/2005 0:00,No damage,NORTHWEST AIRLINES,Pennsylvania,Approach,Medium,No Cloud,N,900,No
231267,Airplane,CHICAGO MIDWAY INTL ARPT,B-737-300,None,3/16/2005 0:00,No damage,SOUTHWEST AIRLINES,Illinois,Approach,Medium,Some Cloud,N,400,Yes
232402,Airplane,LAMBERT-ST LOUIS INTL,EMB-145,None,3/16/2005 0:00,No damage,TRANS STATES AIRLINES,Missouri,Approach,Small,No Cloud,Y,"2,400",No
234855,Airplane,ORLANDO INTL,LEARJET-35,None,3/16/2005 0:00,No damage,BUSINESS,Florida,Climb,Small,Some Cloud,Y,"1,500",No
229123,Airplane,PALM BEACH INTL,MD-82,None,3/16/2005 0:00,Damage,AMERICAN AIRLINES,Florida,Approach,Large,Some Cloud,Y,200,No
230777,Airplane,LIHUE ARPT,B-757-200,None,3/17/2005 0:00,No damage,AMERICAN AIRLINES,Hawaii,Take-off run,Large,Overcast,N,0,Yes
236528,Airplane,PHOENIX SKY HARBOR,B-727-200,None,3/17/2005 0:00,No damage,ASTAR AIR CARGO,Arizona,Descent,Small,No Cloud,N,"3,000",No
231374,Airplane,LIHUE ARPT,B-757-200,None,3/17/2005 0:00,No damage,AMERICAN AIRLINES,Hawaii,Landing Roll,Small,No Cloud,Y,0,Yes
234142,Airplane,WINONA MUNICIPAL ARPT,PA-23-250,Precautionary Landing,3/17/2005 0:00,Damage,BUSINESS,Minnesota,Climb,Large,No Cloud,Y,450,No
231815,Airplane,GREATER PITTSBURGH,A-319,None,3/18/2005 0:00,No damage,US AIRWAYS,Pennsylvania,Climb,Small,No Cloud,N,"6,500",No
230451,Airplane,FORT LAUDERDALE EXECUTIVE ARPT,C-560,None,3/18/2005 0:00,No damage,BUSINESS,Florida,Landing Roll,Medium,No Cloud,Y,0,No
230876,Airplane,MEMPHIS INTL,B-737-300,None,3/19/2005 0:00,No damage,US AIRWAYS,Tennessee,Approach,Medium,Some Cloud,N,"2,000",Yes
234847,Airplane,LAURENCE G HANSCOM,C-182 SKYLAN,None,3/19/2005 0:00,Damage,BUSINESS,Massachusetts,Approach,Small,No Cloud,N,300,No
231360,Airplane,ORLANDO INTL,A-321,None,3/20/2005 0:00,No damage,SPIRIT AIRLINES,Florida,Take-off run,Medium,No Cloud,Y,0,No
234453,Airplane,HENDERSON FIELD,LOCKHEED C-130,Other,3/21/2005 0:00,No damage,GOVERNMENT,Prince Edward Island,Approach,Large,Some Cloud,Y,50,No
229089,Airplane,NEWARK LIBERTY INTL ARPT,B-757-300,None,3/21/2005 0:00,No damage,CONTINENTAL AIRLINES,New Jersey,Approach,Medium,Overcast,Y,200,Yes
230912,Airplane,LAGUARDIA NY,EMB-145,Precautionary Landing,3/21/2005 0:00,Damage,AMERICAN EAGLE AIRLINES,New York,Climb,Medium,Some Cloud,N,"1,300",No
233620,Airplane,PHILADELPHIA INTL,MD-82,None,3/21/2005 0:00,No damage,AMERICAN AIRLINES,Pennsylvania,Climb,Medium,Some Cloud,Y,10,No
233036,Airplane,JACKSONVILLE INTL,B-737-300,None,3/21/2005 0:00,No damage,SOUTHWEST AIRLINES,Florida,Climb,Medium,No Cloud,N,"1,000",Yes
228582,Airplane,BISHOP INTL FLINT,DC-9,None,3/22/2005 0:00,No damage,NORTHWEST AIRLINES,Michigan,Take-off run,Medium,No Cloud,Y,0,No
231567,Airplane,SOUTHWEST FLORIDA INTL ARPT,B-737-800,None,3/22/2005 0:00,No damage,SUN COUNTRY AIRLINES,Florida,Landing Roll,Large,Some Cloud,Y,0,Yes
236458,Airplane,RONALD REAGAN WASHINGTON NATL,A-319,None,3/22/2005 0:00,No damage,US AIRWAYS,DC,Approach,Large,Some Cloud,Y,100,No
237571,Airplane,SACRAMENTO INTL,B-767-300,None,3/23/2005 0:00,No damage,HAWAIIAN AIR,California,Take-off run,Medium,Overcast,Y,0,Yes
237572,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,DHC8 DASH 8,None,3/23/2005 0:00,No damage,PIEDMONT AIRLINES,North Carolina,Approach,Small,No Cloud,N,"1,500",No
230827,Airplane,LIHUE ARPT,B-717-200,None,3/23/2005 0:00,No damage,HAWAIIAN AIR,Hawaii,Take-off run,Small,No Cloud,Y,0,No
232014,Airplane,GREATER ROCKFORD,DC-9-30,None,3/24/2005 0:00,No damage,ABX AIR,Illinois,Approach,Small,No Cloud,N,100,No
233605,Airplane,METRO OAKLAND INTL,B-737-300,None,3/24/2005 0:00,No damage,SOUTHWEST AIRLINES,California,Climb,Medium,Some Cloud,Y,600,Yes
231592,Airplane,LIHUE ARPT,B-717-200,None,3/24/2005 0:00,No damage,HAWAIIAN AIR,Hawaii,Climb,Small,No Cloud,Y,10,No
231408,Airplane,JACKSON EVERS INTL,B-757-200,None,3/24/2005 0:00,No damage,UPS AIRLINES,Mississippi,Approach,Medium,No Cloud,N,"5,000",Yes
229496,Airplane,NEW ORLEANS INTL,B-737-700,None,3/24/2005 0:00,No damage,SOUTHWEST AIRLINES,Louisiana,Descent,Medium,No Cloud,N,"7,000",Yes
232398,Airplane,SOUTHWEST FLORIDA INTL ARPT,B-757-200,None,3/24/2005 0:00,Damage,DELTA AIR LINES,Florida,Approach,Medium,No Cloud,Y,200,Yes
226528,Airplane,JOHN F KENNEDY INTL,B-767-300,None,3/24/2005 0:00,Damage,NORTH AMERICAN,New York,Approach,Medium,Some Cloud,Y,500,Yes
231611,Airplane,REID-HILLVIEW ARPT OF SANTA CLARA CNTY,C-152,Precautionary Landing,3/24/2005 0:00,Damage,BUSINESS,California,Climb,Large,Some Cloud,N,10,No
229497,Airplane,SAN DIEGO INTL,B-737-700,None,3/24/2005 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Small,No Cloud,N,"4,000",Yes
232640,Airplane,CHICAGO MIDWAY INTL ARPT,B-737-800,Aborted Take-off,3/25/2005 0:00,No damage,ATA AIRLINES,Illinois,Take-off run,Small,Overcast,Y,0,Yes
230536,Airplane,MIAMI INTL,B-767-300,None,3/26/2005 0:00,No damage,MARTINAIR,Florida,Climb,Medium,No Cloud,Y,"6,400",Yes
227286,Airplane,ORLANDO INTL,B-737-300,None,3/27/2005 0:00,No damage,SOUTHWEST AIRLINES,Florida,Take-off run,Medium,Some Cloud,N,0,Yes
229447,Airplane,KANSAS CITY INTL,B-737-300,None,3/27/2005 0:00,No damage,SOUTHWEST AIRLINES,Missouri,Landing Roll,Small,Some Cloud,Y,0,Yes
234157,Airplane,ORLANDO INTL,A-320,None,3/28/2005 0:00,No damage,AIR CANADA,Florida,Landing Roll,Large,No Cloud,Y,0,No
231994,Airplane,MEMPHIS INTL,A-320,None,3/28/2005 0:00,No damage,NORTHWEST AIRLINES,Tennessee,Landing Roll,Medium,No Cloud,Y,0,No
230092,Airplane,EPPLEY AIRFIELD,CL-RJ100/200,None,3/28/2005 0:00,No damage,PINNACLE,Nebraska,Taxi,Small,Some Cloud,Y,0,No
229694,Airplane,BUCHANAN FLD,IAI-1124,None,3/29/2005 0:00,No damage,BUSINESS,California,Take-off run,Small,No Cloud,N,0,No
229426,Airplane,JOHN WAYNE AIRPORT,B-737-700,None,3/29/2005 0:00,No damage,ALOHA AIRLINES,California,Approach,Small,No Cloud,N,"3,000",Yes
234322,Airplane,KAHULUI ARPT,B-717-200,None,3/29/2005 0:00,No damage,HAWAIIAN AIR,Hawaii,Landing Roll,Medium,Overcast,Y,0,No
228937,Airplane,INDIANAPOLIS INTL,GULFAERO IV,Precautionary Landing,3/29/2005 0:00,Damage,BUSINESS,Indiana,Take-off run,Small,No Cloud,N,0,No
231678,Airplane,NEW ORLEANS INTL,B-737-500,None,3/30/2005 0:00,No damage,SOUTHWEST AIRLINES,Louisiana,Approach,Large,Overcast,N,600,Yes
229678,Airplane,CECIL ARPT,GULFAERO IV,None,3/30/2005 0:00,Damage,BUSINESS,Florida,Landing Roll,Large,No Cloud,N,0,No
234307,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,None,3/30/2005 0:00,No damage,US AIRWAYS,North Carolina,Descent,Medium,Some Cloud,N,"6,000",Yes
227868,Airplane,REDDING MUNICIPAL,C-402,None,3/30/2005 0:00,No damage,BUSINESS,California,Approach,Small,No Cloud,N,"1,500",No
226349,Airplane,JAMES M COX DAYTON INTL,MD-82,None,3/30/2005 0:00,No damage,AMERICAN AIRLINES,Ohio,Approach,Small,No Cloud,N,"1,000",No
229786,Airplane,LAMBERT-ST LOUIS INTL,B-737-700,None,3/31/2005 0:00,No damage,SOUTHWEST AIRLINES,Missouri,Climb,Large,No Cloud,N,"1,500",Yes
227802,Airplane,METRO OAKLAND INTL,B-737-700,None,3/31/2005 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Medium,No Cloud,Y,55,Yes
235827,Airplane,AUSTIN STRAUBEL INTL,CL-RJ100/200,None,4/1/2005 0:00,No damage,PINNACLE,Wisconsin,Take-off run,Small,Some Cloud,Y,0,No
229464,Airplane,TERRE HAUTE INTL ARPT-HULMAN FIELD,PA-28,None,4/1/2005 0:00,No damage,BUSINESS,Indiana,Climb,Small,No Cloud,N,2,No
232990,Airplane,SPRINGFIELD-BRANSON NATIONAL,CL-RJ100/200,None,4/1/2005 0:00,No damage,COMAIR AIRLINES,Missouri,Approach,Small,Some Cloud,N,5,No
237242,Airplane,PORTLAND INTL (OR),DC-10,None,4/1/2005 0:00,No damage,FEDEX EXPRESS,Oregon,Landing Roll,Small,Overcast,Y,0,No
232259,Airplane,MIAMI INTL,BE-1900,None,4/1/2005 0:00,No damage,GULFSTREAM INTL AIRLINES,Florida,Approach,Small,Some Cloud,N,30,No
227676,Airplane,ORLANDO INTL,B-717-200,None,4/1/2005 0:00,No damage,AIRTRAN AIRWAYS,Florida,Landing Roll,Small,No Cloud,Y,0,No
226210,Airplane,CLEVELAND-HOPKINS INTL ARPT,A-320,None,4/3/2005 0:00,No damage,AMERICA WEST AIRLINES,Ohio,Landing Roll,Small,Overcast,Y,0,No
229065,Airplane,CHICAGO MIDWAY INTL ARPT,MD-80,None,4/3/2005 0:00,No damage,AMERICAN AIRLINES,Illinois,Approach,Small,Some Cloud,N,"1,500",No
231395,Airplane,SPOKANE INTERNATIONAL,DHC8 DASH 8,None,4/3/2005 0:00,No damage,HORIZON AIR,Washington,Approach,Small,Some Cloud,N,30,No
230888,Airplane,GREATER PITTSBURGH,CL-RJ100/200,None,4/3/2005 0:00,No damage,COMAIR AIRLINES,Pennsylvania,Landing Roll,Small,Overcast,N,0,No
227779,Airplane,BOISE AIR TERMINAL/GOWEN FIELD,DHC8 DASH 8,Aborted Take-off,4/4/2005 0:00,No damage,HORIZON AIR,Idaho,Take-off run,Small,Overcast,N,0,No
229199,Airplane,ATLANTA INTL,B-737-800,None,4/4/2005 0:00,No damage,DELTA AIR LINES,Georgia,Landing Roll,Small,Overcast,N,0,Yes
231025,Airplane,PHOENIX SKY HARBOR,B-737-700,None,4/4/2005 0:00,No damage,SOUTHWEST AIRLINES,Arizona,Approach,Small,No Cloud,N,"2,000",Yes
226122,Airplane,LOS ANGELES INTL,B-757-200,None,4/4/2005 0:00,No damage,DELTA AIR LINES,California,Approach,Medium,No Cloud,N,"7,000",Yes
231593,Airplane,DENVER INTL AIRPORT,CL-RJ100/200,None,4/5/2005 0:00,No damage,SKYWEST AIRLINES,Colorado,Landing Roll,Small,Overcast,Y,0,No
233791,Airplane,MINETA SAN JOSE INTL,EMB-135,Precautionary Landing,4/5/2005 0:00,No damage,AMERICAN EAGLE AIRLINES,California,Climb,Medium,No Cloud,N,"7,500",No
230919,Airplane,ONTARIO INTL ARPT,DC-10,None,4/5/2005 0:00,No damage,FEDEX EXPRESS,California,Landing Roll,Small,No Cloud,Y,0,No
229590,Airplane,LINCOLN MUNICIPAL,PILATUS PC12,None,4/5/2005 0:00,No damage,BUSINESS,Nebraska,Landing Roll,Small,Overcast,Y,0,No
233919,Airplane,PORT COLUMBUS INTL,B-737-300,None,4/6/2005 0:00,No damage,SOUTHWEST AIRLINES,Ohio,Approach,Large,No Cloud,N,"2,000",Yes
233447,Airplane,REPUBLIC AIRPORT,PA-28,None,4/7/2005 0:00,Damage,BUSINESS,New York,Approach,Large,Some Cloud,N,500,No
